time,open,high,low,close,tick_volume,spread,real_volume
2025-01-12 11:00:00,1773.91,1794.88,1773.21,1782.41,1783,44,0
2025-01-12 12:00:00,1781.87,1784.8,1750.8,1757.97,1778,44,0
2025-01-12 13:00:00,1757.58,1764.0,1735.83,1745.53,1776,44,0
2025-01-12 14:00:00,1745.19,1784.07,1745.03,1781.28,1786,44,0
2025-01-12 15:00:00,1780.58,1794.12,1775.11,1788.31,1774,44,0
2025-01-12 16:00:00,1788.79,1809.58,1776.75,1784.34,1786,44,0
2025-01-12 17:00:00,1783.99,1824.78,1781.13,1821.47,1786,44,0
2025-01-12 18:00:00,1821.35,1839.79,1816.94,1822.26,1785,44,0
2025-01-12 19:00:00,1822.94,1840.8,1820.11,1831.2,1790,44,0
2025-01-12 20:00:00,1831.34,1857.26,1813.19,1845.6,1779,44,0
2025-01-12 21:00:00,1845.9,1873.97,1838.98,1872.95,1783,44,0
2025-01-12 22:00:00,1872.64,1887.25,1863.32,1869.12,1781,44,0
2025-01-12 23:00:00,1869.15,1874.64,1836.48,1843.7,1785,44,0
2025-01-13 00:00:00,1842.42,1867.62,1834.14,1862.28,1780,44,0
2025-01-13 01:00:00,1862.21,1893.32,1861.95,1871.45,1785,44,0
2025-01-13 02:00:00,1870.63,1890.54,1867.94,1870.66,1787,44,0
2025-01-13 03:00:00,1870.36,1875.53,1836.29,1841.73,1786,44,0
2025-01-13 04:00:00,1841.95,1869.04,1838.0,1865.8,1779,54,0
2025-01-13 05:00:00,1865.78,1865.86,1836.12,1839.17,1778,54,0
2025-01-13 06:00:00,1838.64,1861.92,1836.9,1849.54,1379,54,0
2025-01-13 07:00:00,1849.53,1854.74,1824.35,1840.28,1785,54,0
2025-01-13 08:00:00,1840.52,1877.94,1834.41,1877.94,1786,54,0
2025-01-13 09:00:00,1877.97,1898.53,1863.03,1863.68,1790,54,0
2025-01-13 10:00:00,1863.53,1902.57,1863.53,1886.96,1790,54,0
2025-01-13 11:00:00,1886.88,1937.41,1886.88,1937.11,1787,54,0
2025-01-13 12:00:00,1937.85,1959.86,1929.54,1941.57,1785,54,0
2025-01-13 13:00:00,1941.25,1950.71,1913.6,1936.04,1786,54,0
2025-01-13 14:00:00,1936.07,1940.44,1919.53,1921.23,1784,54,0
2025-01-13 15:00:00,1922.0,1925.03,1876.73,1918.22,1774,54,0
2025-01-13 16:00:00,1917.78,1926.78,1908.74,1917.61,1785,54,0
2025-01-13 17:00:00,1916.81,1946.77,1913.3,1945.83,1783,54,0
2025-01-13 18:00:00,1946.16,1964.77,1937.28,1960.48,1786,54,0
2025-01-13 19:00:00,1959.74,1963.15,1935.94,1943.11,1785,54,0
2025-01-13 20:00:00,1942.45,1952.71,1909.95,1922.1,1786,54,0
2025-01-13 21:00:00,1921.76,1957.76,1920.69,1948.33,1786,54,0
2025-01-13 22:00:00,1948.39,1953.46,1933.86,1937.88,1781,54,0
2025-01-13 23:00:00,1937.38,1940.54,1911.52,1925.9,1795,54,0
2025-01-14 00:00:00,1925.88,1942.81,1914.54,1936.88,1783,54,0
2025-01-14 01:00:00,1936.95,1980.93,1935.01,1972.27,1786,54,0
2025-01-14 02:00:00,1972.74,1983.61,1965.75,1967.0,1788,54,0
2025-01-14 03:00:00,1967.0,2002.33,1966.37,1999.79,1784,54,0
2025-01-14 04:00:00,1998.63,2010.01,1982.15,1984.33,1785,54,0
2025-01-14 05:00:00,1984.2,1993.77,1971.44,1971.44,1785,54,0
2025-01-14 06:00:00,1971.57,1996.16,1969.82,1989.9,1781,54,0
2025-01-14 07:00:00,1990.23,1997.01,1936.69,1950.73,1780,54,0
2025-01-14 08:00:00,1951.06,1960.43,1929.69,1940.57,1787,54,0
2025-01-14 09:00:00,1940.31,1950.89,1919.95,1923.41,1788,54,0
2025-01-14 10:00:00,1923.13,1944.2,1917.35,1935.51,1788,54,0
2025-01-14 11:00:00,1935.39,1937.22,1900.72,1907.11,1783,54,0
2025-01-14 12:00:00,1907.36,1934.67,1899.8,1929.37,1786,54,0
2025-01-14 13:00:00,1929.57,1975.74,1925.95,1968.21,1789,54,0
2025-01-14 14:00:00,1968.14,1979.88,1947.08,1951.13,1783,54,0
2025-01-14 15:00:00,1951.84,1959.68,1938.8,1943.17,1796,54,0
2025-01-14 16:00:00,1944.6,1949.58,1917.61,1930.76,1783,54,0
